ID,Distance,Contained,NPolys
anga1288,0.01824351768451065,False,1
anga1290,0,True,1
anga1292,0.24422970219565512,False,1
anga1293,0,True,1
angi1238,1.9662442958716466,False,1
ango1254,0,True,1
ango1255,0,True,1
anii1245,0.8548831790851175,False,1
anii1246,0.5843453241314839,False,1
anim1239,0.5229909654121045,False,1
anin1240,0,True,8
anja1238,0,True,1
anka1246,0,True,1
anma1239,0,True,1
anor1241,0,True,1
ansu1237,0,False,2
anua1242,0,True,1
anuf1239,0,True,1
anuk1239,0.004009275695708191,False,1
anuu1241,0,True,1
anyi1245,0,True,2
aohe1237,0,True,1
aona1235,0.19167952533351051,False,1
aore1237,0,True,1
apal1237,0,True,3
apal1256,0,True,1
apal1257,0.09958488264588479,False,1
apat1240,0.3101710522923699,False,1
apia1248,1.1693347340011198,False,1
apin1244,0.30981710863318834,False,1
apma1240,0,True,2
apma1241,0,True,1
apol1242,0,True,1
apur1254,0,True,1
arab1267,0,True,1
arai1239,2.9200792323996994,False,1
aran1237,0,True,1
aran1265,0,True,1
arap1274,1.560087254779397,False,1
araw1272,0.007976830709382937,False,1
araw1276,0,True,2
arbo1245,0.1320491528436354,False,2
arch1244,0.29347022541347967,False,1
area1240,0,True,3
aree1239,0,True,1
arem1240,0.49113564104675034,False,1
arha1237,0,True,1
arho1237,0,True,1
arib1240,0,True,1
arib1241,0,True,1
arif1239,0,True,4
arig1246,0.18327413343238483,False,1
arik1262,0,True,1
arik1264,0.5106106382481912,False,1
arik1265,0.5480837430006005,False,1
ariz1237,4.44987889776782,False,1
arop1243,0,True,4
aros1241,0,True,1
arta1239,0.11277028754898512,False,1
arua1260,0,True,1
arua1263,0.7035189189907074,False,1
arua1264,0,True,8
arue1240,0,True,1
aruo1240,0.0026367731573272873,False,1
arut1244,0.12630776389746518,False,1
asar1240,0,True,1
ashk1246,0,True,1
asho1236,1.2261290640670277,False,6
asko1238,0,True,1
asoa1238,0.12482222794548242,False,2
assa1263,0,True,6
assa1269,0.8473746091893796,False,1
assi1247,0,True,1
asue1235,0,True,1
asur1254,1.848506507764865,False,1
asut1235,0,True,1
atac1235,0,True,1
atak1252,0.4939464557958837,False,1
atam1240,0,True,1
atay1247,0,True,1
atem1241,0,True,1
athp1241,0,False,1
atik1240,0,True,1
atoh1238,0.007689752426762016,False,1
aton1241,0.27699526408896397,False,1
aton1242,0.07195811816748014,False,1
atsa1241,0.04294216538916488,False,1
atsa1242,6.751927350471121,False,1
atsu1245,0,True,1
atti1239,0,True,1
auhe1237,0,True,2
aulu1238,0,True,1
aush1241,0,True,1
auuu1241,0,True,1
auwe1239,0,True,1
avac1239,0,True,1
avar1256,0,False,8
avik1243,0,True,1
avok1242,0.1437475858382086,False,2
awab1243,0,True,1
awac1238,0,True,2
awac1239,0.11511709924489488,False,1
awad1243,0,True,1
awad1244,0,True,1
awak1250,0.028978335447994694,False,1
awap1236,0,True,1
awar1249,0,True,1
awee1242,0.12168223048031375,False,2
awet1244,0.25384426393962445,False,1
awin1248,0,True,1
awng1244,0,True,1
awtu1239,0.024178831568645563,False,1
awun1245,0,True,1
awut1241,0,False,2
awyi1241,0,True,1
axam1237,0,True,1
axiy1235,0.3389369335532085,False,1
ayor1240,0,True,1
ayuu1242,0,True,1
azha1235,0.2796920393830136,False,1
azhe1235,0.05839091109318355,False,1
baat1238,0,True,1
baba1263,0,True,1
baba1266,0.13830355972363567,False,1
baba1273,0.5108537612520695,False,2
babi1235,0,True,1
baca1246,0.10842059888958304,False,1
bada1258,0.01193446074796393,False,1
bada1261,0,True,1
bade1248,0.07059679223221556,False,1
bady1239,0.10329737548302803,False,1
baet1237,0,True,1
bafa1247,0,True,1
bafi1243,0.04972228872482492,False,1
bafu1246,0.011469766634995859,False,1
baga1272,0.10822679414436248,False,1
baga1273,0,True,1
baga1274,0.20325459913961333,False,1
baga1275,0,False,2
bagh1251,1.7046254505723042,False,3
bagi1246,0.6944462700033319,False,2
bago1245,0.016971933495701006,False,1
bagr1243,2.3209938873754363,False,1
bagu1252,0.0010072812879396889,False,1
bagv1239,0,True,1
baha1257,0,True,2
baha1258,0,True,1
baha1259,0,True,2
bahi1252,0.009186448189409559,False,1
bahi1254,0,True,1
bahn1262,0,True,1
baib1251,0,True,1
baim1244,0,True,1
baim1245,0,True,1
bain1259,0.21249613864367217,False,1
baka1272,1.2487280448585032,False,2
baka1273,0.10057514652573583,False,1
baka1274,0,True,3
baka1277,0,True,1
bakh1245,0.9558818990245405,False,1
baki1244,0,True,1
bako1249,0,True,3
bako1250,0,True,1
bakp1238,0.0716214158606281,False,2
bakw1243,0,True,1
bala1302,0,True,2
bala1310,0,True,1
bala1311,0,True,10
bala1314,0,True,1
bala1315,0,True,1
bald1241,0.14406435277947355,False,1
bali1245,0.5462371644238743,False,1
bali1274,0,True,1
bali1278,0,True,3
bali1279,0,True,1
balo1261,0.12975468490937014,False,1
balt1258,1.021316086606069,False,4
balu1257,0,True,2
bamb1262,0.4121815800716175,False,1
bamb1266,0,True,1
bamb1269,0,True,4
bamb1270,0,True,1
bame1260,0.05480256481339549,False,1
bamu1253,0,True,2
bamu1256,0.1609017387753199,False,1
bamu1257,0,True,3
bamw1238,1.106167896591374,False,1
bana1292,0,True,1
bana1305,0,True,1
band1342,0.4871855707875256,False,4
band1343,0,False,4
band1344,0,True,8
band1345,0,True,2
band1348,0,True,3
band1352,0,True,1
band1355,0,False,2
bang1347,0.252055863142045,False,3
bang1348,0.00713606785055612,False,1
bang1350,0,True,1
bang1354,0,False,6
bang1363,0,True,1
bang1365,0,True,1
bang1368,0,True,5
bang1369,0.21813293216849372,False,1
bank1256,0,True,1
bann1247,0,True,1
bant1281,0,True,1
bant1286,0.04023261395234722,False,4
bant1288,0,False,4
bant1293,0,True,1
baou1238,0.04271567816063362,False,1
bara1357,0.46314864398720856,False,1
bara1361,0,False,2
bara1362,0.5998393786607128,False,1
bara1367,0,True,1
bara1370,0,False,2
bara1375,0,True,1
barb1263,0,True,1
bare1279,0.3603043786216467,False,1
barg1252,0,True,1
bari1284,0,True,2
bari1286,0,True,1
bari1290,0,True,1
bari1297,0,True,1
bari1298,0.18751176009139237,False,1
baro1253,0,True,1
barr1247,0.0533694689477983,False,1
baru1267,0,True,1
baru1269,0,True,1
barw1243,0.07496349042862385,False,1
basa1282,0,False,7
basa1284,0,True,2
basa1286,0.8774199363659321,False,3
bash1263,0.9100082513861157,False,1
bash1264,1.779835633478629,False,6
bask1236,0.1624707765641244,False,1
basq1248,0,True,1
bass1258,0,False,3
bass1260,0,True,2
bata1285,1.4999437304919618,False,2
bata1288,0,True,1
bata1289,0,True,1
bata1292,0,True,2
bata1293,0.03111534402536354,False,1
bata1297,0.012177469592538874,False,1
bata1301,0,True,1
bata1314,0,False,2
bate1262,0,True,2
bath1244,0,True,1
bati1251,0.05800781840880065,False,1
batu1255,0.06629280369238015,False,2
baub1235,0,True,2
bauc1238,0.023850706810820934,False,1
baur1252,0,True,1
baur1253,0,True,1
bauu1244,0,False,1
bauw1240,0,True,1
bauz1241,0,True,1
baya1257,0,True,2
baym1241,0.12678524378800093,False,3
bayo1255,0.2746403629305137,False,1
beam1240,0,True,1
beav1236,0,True,1
beba1238,0.044200543760250476,False,2
bebe1250,0.031892092147528424,False,1
