ID,Spread,NPolys
kwan1273,2.559688343274166,5
kwas1243,1.0245628205810762,8
lahu1253,1.9506253267696847,33
lame1256,1.4627935442531548,2
laoo1244,2.869103752976711,9
ligb1244,1.4009518283515452,15
lisu1250,2.974989679053686,55
lonc1237,1.9303873893180061,27
lush1249,1.0785476973400632,3
maas1239,2.3964620829109804,5
maba1277,1.043210899976888,3
mall1246,1.884286837311286,6
manc1252,1.9071226924297626,2
mand1415,8.923211173647536,28
mand1442,3.7183253061777304,2
maor1246,5.118434543922356,29
mars1254,2.3458272469279544,62
maru1249,2.9524909856871964,8
marw1260,9.37196676682355,2
maya1281,1.5252625331734104,3
mbal1255,1.2985521463861416,2
mber1257,1.2900303979145318,2
mbos1242,2.2981758997338106,2
mbuk1240,1.452890529301862,2
mbun1249,1.4635472731144017,2
mich1245,2.383696279757411,5
mids1243,1.2256085188148258,4
mikm1235,1.052100617333048,4
mina1268,1.8986416848621632,10
minn1241,3.652768836901227,17
mode1248,2.254178807061231,26
moke1242,1.29483009333276,25
mong1330,3.0578580350436138,19
mong1338,1.9567812440152474,3
monn1252,1.144074549091205,10
mpii1239,1.1102766217287527,2
mund1320,1.7874820088499463,5
mund1326,1.754343265816595,3
nade1244,1.4950247773784322,2
najd1235,7.178384309806986,6
nana1257,14.58482485369647,11
ndon1254,1.1387799310080617,3
nene1249,10.949753203820409,13
nepa1254,1.4682624126519688,4
ngin1244,1.2138895412096729,3
ngun1272,1.2289963986736943,2
nias1242,1.1682552692811972,8
nkhu1238,1.2244535049201706,3
nkut1238,1.9012962362020913,3
nobi1240,7.0077053180725555,2
nort2690,7.793654014065079,15
nort2795,2.226267207301057,3
nort2954,3.2321531633872285,2
norw1258,3.984629084955466,22
nucl1301,7.560787058819988,15
nucl1302,3.4249265327580836,3
nucl1310,2.8051168671563436,2
nucl1347,1.0322033704371343,5
nucl1440,3.4281374736045467,2
nucl1643,3.380014784716923,189
nyah1250,1.1941831290378833,2
ormu1247,1.5162977175604664,2
oroq1238,1.6295121601337412,10
otuk1240,1.9604353056709654,2
paca1246,1.1887242912322444,3
paci1278,3.0174998275206146,11
pand1264,1.6618787270885915,2
panz1235,2.1453122193128524,2
para1311,10.99128081977544,5
pass1250,2.0862245411879172,2
paya1236,4.494242732671803,2
peri1253,4.944089406658984,9
piap1246,4.028338303829082,2
pipi1250,1.122820096719318,3
poli1260,1.6033534509404805,2
port1283,10.0634617366353,21
pwoe1235,2.843525959448331,5
qabi1235,2.2060340668386,7
qash1240,2.718913076991315,9
qawa1238,2.8614491473455126,109
rakh1245,1.3594077443522408,15
rund1242,1.166100262709219,2
russ1263,33.570106535265275,130
russ1264,2.6751876377385226,7
sabu1255,1.0131144534923922,3
sala1264,11.617039756323674,4
saoc1239,5.947239611233383,2
selk1253,2.006499935866218,4
sgaw1245,1.6580832065585382,21
shan1277,1.346741219001833,9
shiw1234,1.0799576896879384,2
soma1255,1.7912057828719052,3
soni1259,3.0480028842278273,8
sout1528,3.379681660314312,5
sout2697,3.051672997120527,9
stan1288,9.405108548318413,12
stan1293,28.313326051805042,16
stan1295,6.107007241592741,3
suku1259,1.4224535906705689,2
surg1248,4.07590613414727,5
swam1239,9.344186556727639,3
swed1254,3.925839144740032,8
taga1270,1.5190925607734953,36
taid1247,2.48861714326647,18
tain1252,1.8492956312249813,20
taji1245,1.411379184759254,6
tama1331,3.3844811557339245,2
tari1256,1.0899826965842754,2
taru1236,4.0828726270762115,2
tasm1247,1.6956954579422845,8
tata1255,15.268125996257805,15
tayy1238,1.349585859542874,12
teke1275,1.0674653065085284,2
tenh1241,2.2604763031056065,3
tere1279,2.5943392277436947,2
tete1250,2.012470165721792,4
tibe1272,5.601059001381742,8
timu1245,3.1851674007334387,2
tlin1245,1.4844961445008686,18
tong1320,1.0213556175032819,3
toro1253,1.4012363281600249,2
tson1249,1.0538932098285543,4
tumb1250,2.175840545261282,2
tumi1238,2.0440689367935927,2
tunu1234,1.7857439250647842,3
tupi1273,9.935297053109942,7
turk1304,3.823736445325923,2
tuva1244,1.4461708564610245,12
tuvi1240,11.162824988512979,12
uigh1240,3.3601979051659083,46
ukwu1241,1.4829091985247023,2
urdu1245,4.739524408803823,5
vase1234,1.8960330800712393,21
viet1252,3.9653435547468106,17
wand1264,1.6763195011146323,2
wand1278,3.1013421567369375,3
wapi1253,1.7259587010934028,2
waya1269,1.5280434890030585,2
wumb1242,1.716805752224173,4
xhos1239,1.4725889046963843,3
xibe1242,4.173948405732212,9
xoco1235,1.6171294520417334,2
yagu1244,2.8543678806144914,2
yaku1245,16.85373338459514,10
yalu1240,1.040464699856185,6
yama1264,1.3583529923656805,22
yaoa1239,10.679587382056248,2
yomb1244,2.7787929672697516,5
yoru1245,1.4668763805958467,5
yoyy1238,2.155617990444466,6
yuec1235,1.0626033708790381,2
yulu1243,1.3127317147733435,4
zarm1239,2.4444376273942736,7
